datetime,Bx,By
2022-06-08 18:20:36+00:00,6.802939358600582,19.57556997084548
2022-06-08 18:20:40+00:00,4.509628099173554,21.858029752066116
2022-06-08 18:20:44+00:00,5.021553168044077,21.07883719008264
2022-06-08 18:20:48+00:00,5.0469217630853995,19.439273278236914
2022-06-08 18:20:52+00:00,4.37250276243094,18.93089502762431
2022-06-08 18:20:56+00:00,4.3461867403314915,20.72773232044199
2022-06-08 18:21:00+00:00,3.544127868852459,20.771381967213117
2022-06-08 18:21:04+00:00,4.86889010989011,20.69621016483517
2022-06-08 18:21:08+00:00,3.9726090410958914,19.357825205479454
2022-06-08 18:21:12+00:00,3.765944109589041,19.02895808219178
2022-06-08 18:21:16+00:00,3.646306060606061,20.1626261707989
2022-06-08 18:21:20+00:00,3.31490597826087,19.74876331521739
2022-06-08 18:21:24+00:00,-11.81613097826087,11.835549184782609
2022-06-08 18:21:28+00:00,-23.102262500000002,2.351670652173913
2022-06-08 18:21:32+00:00,-20.185438211382113,4.575986991869918
2022-06-08 18:21:36+00:00,-20.982787027027026,5.542065405405405
2022-06-08 18:21:40+00:00,-22.538345504087193,5.106707629427793
2022-06-08 18:21:44+00:00,-20.078041129032258,6.254911827956988
2022-06-08 18:21:48+00:00,-20.844128142076503,8.020517486338798
2022-06-08 18:21:52+00:00,-24.875410512129378,6.59870539083558
2022-06-08 18:21:56+00:00,-20.715857765667575,6.64069046321526
2022-06-08 18:22:00+00:00,-20.87505934065934,5.243843406593407
2022-06-08 18:22:04+00:00,-20.551139509536785,4.99661416893733
2022-06-08 18:22:08+00:00,-20.345792011019288,5.005859779614324
2022-06-08 18:22:12+00:00,-23.26382853260869,6.31001277173913
2022-06-08 18:22:16+00:00,-19.991607629427794,7.50298910081744
2022-06-08 18:22:20+00:00,-19.682448907103822,5.386546994535519
2022-06-08 18:22:24+00:00,-17.781242857142857,1.6482390835579517
2022-06-08 18:22:28+00:00,-20.216597245179063,6.5999140495867765
2022-06-08 18:22:32+00:00,-20.826875138121547,9.903280662983427
2022-06-08 18:22:36+00:00,-22.017284254143647,9.86920635359116
2022-06-08 18:22:40+00:00,-19.679766391184575,4.191606611570248
2022-06-08 18:22:44+00:00,-19.64494281767956,3.9012074585635355
2022-06-08 18:22:48+00:00,-21.680147790055248,5.054799723756906
2022-06-08 18:22:52+00:00,-24.345356043956045,4.455410989010988
2022-06-08 18:22:56+00:00,-21.520038082191782,5.029233698630137
2022-06-08 18:23:00+00:00,-22.419101923076926,5.241366208791209
2022-06-08 18:23:04+00:00,-11.098574725274727,-9.350692307692306
2022-06-08 18:23:08+00:00,-5.835178108108109,-17.33378108108108
2022-06-08 18:23:12+00:00,-5.871029411764707,-16.601688502673795
2022-06-08 18:23:16+00:00,-4.370983791208791,-15.891264285714287
2022-06-08 18:23:20+00:00,-5.062119137466308,-16.49673099730458
2022-06-08 18:23:24+00:00,-4.1764716981132075,-16.64436253369272
2022-06-08 18:23:28+00:00,-11.193569459459457,-9.068980540540542
2022-06-08 18:23:32+00:00,-21.678561263736263,2.469921978021978
2022-06-08 18:23:36+00:00,-18.978059890109893,1.858578021978022
2022-06-08 18:23:40+00:00,-7.66252479338843,-15.42647134986226
2022-06-08 18:23:44+00:00,-5.033722651933702,-18.389575966850828
2022-06-08 18:23:48+00:00,-4.628304359673025,-16.554634877384196
2022-06-08 18:23:52+00:00,-3.890645108695652,-17.038214402173914
2022-06-08 18:23:56+00:00,-3.3333067750677507,-17.402660975609756
2022-06-08 18:24:00+00:00,-6.239288461538462,-15.984710989010987
2022-06-08 18:24:04+00:00,-20.186822070844688,10.017168119891009
2022-06-08 18:24:08+00:00,-19.3865628342246,7.7853326203208555
2022-06-08 18:24:12+00:00,-20.730060483870968,7.929561021505376
2022-06-08 18:24:16+00:00,-19.866574861878455,8.489003867403316
2022-06-08 18:24:20+00:00,-19.20022654155496,6.716587935656836
2022-06-08 18:24:24+00:00,-21.335383197831977,9.286810840108402
2022-06-08 18:24:28+00:00,-21.13112479784367,8.860132614555257
2022-06-08 18:24:32+00:00,-13.919101104972377,0.5730157458563532
2022-06-08 18:24:36+00:00,-6.019854545454545,-13.79077603305785
2022-06-08 18:24:40+00:00,-16.775171038251365,-0.5874021857923497
2022-06-08 18:24:44+00:00,-21.274953150684933,10.061166301369864
2022-06-08 18:24:48+00:00,-20.77177135135135,5.819619459459459
2022-06-08 18:24:52+00:00,-20.51373261455526,7.17596603773585
2022-06-08 18:24:56+00:00,-19.42231471389646,5.64259727520436
2022-06-08 18:25:00+00:00,-19.477754155495976,5.440032171581769
2022-06-08 18:25:04+00:00,-20.593932887700536,7.539975133689841
2022-06-08 18:25:08+00:00,-21.155752066115703,5.295162534435262
2022-06-08 18:25:12+00:00,-21.2748525606469,6.123638814016172
2022-06-08 18:25:16+00:00,-21.13983135135135,6.695238108108108
2022-06-08 18:25:20+00:00,-21.177841032608693,5.5632179347826085
2022-06-08 18:25:24+00:00,-19.564388219178085,3.6238528767123284
2022-06-08 18:25:28+00:00,-20.573985405405406,5.240497297297297
2022-06-08 18:25:32+00:00,-19.444934782608698,3.927173641304348
2022-06-08 18:25:36+00:00,-18.47948729281768,5.042214640883978
2022-06-08 18:25:40+00:00,-19.11356740331492,5.682312154696132
2022-06-08 18:25:44+00:00,-18.431690358126723,3.942371900826446
2022-06-08 18:25:48+00:00,-19.177956077348068,3.087608839779005
2022-06-08 18:25:52+00:00,-18.602143801652893,2.934104958677686
2022-06-08 18:25:56+00:00,3.8024131506849312,16.702315616438355
2022-06-08 18:26:00+00:00,-0.5514063535911605,15.508029005524863
2022-06-08 18:26:04+00:00,-19.035873756906078,5.357863259668508
2022-06-08 18:26:08+00:00,-11.451671349862258,-5.0789292011019285
2022-06-08 18:26:12+00:00,-3.847500552486188,-16.977366574585638
2022-06-08 18:26:16+00:00,-14.214127272727271,-3.523554545454545
2022-06-08 18:26:20+00:00,-20.231524999999998,2.320178296703297
2022-06-08 18:26:24+00:00,-17.970238950276244,4.216694198895027
2022-06-08 18:26:28+00:00,-20.038939058171746,2.6851085872576177
2022-06-08 18:26:32+00:00,-19.63328516483517,3.8665414835164835
2022-06-08 18:26:36+00:00,-20.559162534435263,3.881115702479338
2022-06-08 18:26:40+00:00,-20.75250785907859,3.008094037940379
2022-06-08 18:26:44+00:00,-19.916952150537636,7.2717951612903216
2022-06-08 18:26:48+00:00,-20.000919293478265,6.185839945652174
2022-06-08 18:26:52+00:00,-19.742561994609165,6.785296765498651
2022-06-08 18:26:56+00:00,-19.242412634408605,6.9405932795698915
2022-06-08 18:27:00+00:00,-19.528948118279573,5.791294892473118
2022-06-08 18:27:04+00:00,-19.17911871657754,4.830505080213903
2022-06-08 18:27:08+00:00,-18.325342587601078,4.0420781671159025
2022-06-08 18:27:12+00:00,-19.08787472826087,3.492413043478261
2022-06-08 18:27:16+00:00,-18.932740108401084,5.06740460704607
2022-06-08 18:27:20+00:00,-20.234606366047746,6.3313042440318315
2022-06-08 18:27:24+00:00,-19.697014399999997,5.826070133333333
2022-06-08 18:27:28+00:00,-21.30396475409836,7.523231967213115
2022-06-08 18:27:32+00:00,-21.10576451612903,6.399461827956989
2022-06-08 18:27:36+00:00,-20.2125,8.25
